"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-2262752","Cellular responses to stress","26/201","479/10654",1.0953257232416e-06,0.000387392478430706,0.000299339647291013,"PSMC2/BAG3/CXCL8/UBE2D3/NUP88/TXN/PSMA3/NUP155/NPRL3/PSMF1/UBE2E1/EHMT2/VCP/HSPA9/DNAJA1/PSMB2/CBX4/TXNRD1/CDKN1A/PRDX1/HSP90AB1/FOS/CYBA/PSMB1/DCTN3/HIF1A",26
"R-HSA-449147","Signaling by Interleukins","25/201","461/10654",1.82753465586944e-06,0.000387392478430706,0.000299339647291013,"HMOX1/PSMC2/CXCL8/BCL6/HNRNPDL/FOXO3/GSTO1/NFKB2/PSMA3/PSMF1/PIK3CA/SERPINB2/HSPA9/PSMB2/NFKBIA/CDKN1A/IL2/MYC/MSN/FOS/CD4/PSMB1/INPP5D/HIF1A/TBK1",25
"R-HSA-8953897","Cellular responses to external stimuli","26/201","493/10654",1.87746316820232e-06,0.000387392478430706,0.000299339647291013,"PSMC2/BAG3/CXCL8/UBE2D3/NUP88/TXN/PSMA3/NUP155/NPRL3/PSMF1/UBE2E1/EHMT2/VCP/HSPA9/DNAJA1/PSMB2/CBX4/TXNRD1/CDKN1A/PRDX1/HSP90AB1/FOS/CYBA/PSMB1/DCTN3/HIF1A",26
"R-HSA-202424","Downstream TCR signaling","11/201","98/10654",2.19185022281151e-06,0.000387392478430706,0.000299339647291013,"PSMC2/HLA-DRA/PSMA3/PSMF1/PIK3CA/PSMB2/NFKBIA/CD4/PSMB1/PRKCQ/INPP5D",11
"R-HSA-202403","TCR signaling","12/201","119/10654",2.37372842175678e-06,0.000387392478430706,0.000299339647291013,"PSMC2/HLA-DRA/PSMA3/PSMF1/PIK3CA/PSMB2/NFKBIA/PTPN22/CD4/PSMB1/PRKCQ/INPP5D",12
"R-HSA-5689880","Ub-specific processing proteases","15/201","220/10654",1.74425352167689e-05,0.00237218478948057,0.00183299624470957,"PSMC2/ADRB2/PSMA3/PSMF1/USP3/PSMB2/NFKBIA/MYC/TADA3/USP14/USP16/SMAD7/TOMM20/PSMB1/HIF1A",15
"R-HSA-390450","Folding of actin by CCT/TriC","4/201","10/10654",2.36245062995719e-05,0.0027539424486358,0.00212798184563061,"CCT8/CCT3/CCT4/CCT6A",4
"R-HSA-6798695","Neutrophil degranulation","23/201","480/10654",3.59144521226358e-05,0.00328088049374523,0.00253514888513079,"CCT8/PSMC2/GLA/ADGRE5/LAMP1/VAPA/CD55/ATP6AP2/LAIR1/FUCA1/CD47/VCP/VCL/PLAUR/HSP90AB1/ADA2/CYBA/PSMB1/FTH1/TNFAIP6/GDI2/XRCC6/IMPDH2",23
"R-HSA-5663205","Infectious disease","20/201","383/10654",3.61861819163077e-05,0.00328088049374523,0.00253514888513079,"PSMC2/ISG15/NUP88/PSMA3/NUP155/RPS4Y1/PSMF1/CDK7/PSMB2/POLR2G/TXNRD1/TAF2/RPS3/RPS27L/BANF1/HSP90AB1/CD4/PSMB1/XRCC6/CXCR4",20
"R-HSA-5688426","Deubiquitination","17/201","297/10654",4.59567226998248e-05,0.0037500685723057,0.0028976923049679,"PSMC2/ADRB2/PSMA3/PSMF1/VCP/USP3/PSMB2/NFKBIA/MYC/TADA3/USP14/USP16/SMAD7/TOMM20/PSMB1/HIF1A/TNFAIP3",17
