"","1G.0H.2","1G.0H.4","1G.0H.5","1G.4H.2","1G.4H.4","1G.4H.5","VG.0H.2","VG.0H.4","VG.0H.5","VG.4H.2","VG.4H.4","VG.4H.5"
"GNPDA1",4.05005236729386,5.50483627396516,3.57126514417146,4.37989325140818,3.71976388056373,4.4711836241136,3.75219294750386,3.23509328331115,4.02049391738056,5.69628726218403,4.51807138118241,4.37709032381377
"ARPC3",5.28789620019573,5.5037116482596,4.88844824343537,3.05767186738939,4.98764550897,3.51651570592036,4.56297680144971,2.83407716339288,3.4565595514021,3.92047841839522,5.03471812754029,4.4892366629874
"ARPC1B",6.06615558797835,5.70834293145158,6.09214232054175,4.66067068601869,6.24594956073825,5.18925241451771,5.04002532212624,5.02455880064304,5.8171724777219,5.86787675828634,6.00760978791652,6.48995710488268
"ACTR3",5.27428067580775,6.74543513148654,3.86402836412697,3.91345786705194,5.40127278135829,5.93254946380023,4.53735825984012,3.45622223424203,4.10639709893541,5.60493023568397,5.50467599137429,5.02691002449185
"PPIF",6.02060069843302,7.61236759345436,5.45889241382323,4.32570264336402,5.16993917522957,5.78459418552198,4.62636897957203,6.06834120619297,4.78753255546931,6.09391806678821,5.18792104160047,5.5326637027669
"DDX39A",7.61766358133933,8.13928368392743,6.45070669257708,7.42679586870076,5.71352926540451,7.21750232012159,6.88702614626437,5.75293243738433,5.88208137601719,7.44588403578474,5.5597022734948,5.89094089932001
"CDK7",3.31171023993842,3.53547438281955,2.94883622439426,2.18359587725257,2.826161257541,2.34078634861537,2.43980229798294,2.01869093416556,2.70482319446056,2.63354603527398,2.31326853455925,3.3213076371591
"ZNF267",5.87671514396869,6.69234276841377,3.7909409802029,4.97151167142171,3.16178311382134,4.92239426807246,4.97060237969463,2.82916122680896,3.64004383672201,4.85738379908346,4.05119135685748,4.2140016397192
"AKR1A1",5.77603984662915,6.57621818340146,4.66067141420042,4.58826017196654,5.23685590410241,5.41852964208291,4.87929838735882,5.46902871290962,6.03818357537765,6.71275337879035,5.81339795575919,6.01926428654883
"BASP1",5.5928642126283,5.41270641196527,5.15468614635007,5.29373158821679,4.2736531907055,2.8923496192455,3.88809672819675,4.09345814917276,4.41549065359517,4.36054110666822,4.33090963530714,4.45034341511334
"DDX17",7.25136063388078,7.04228727644139,6.33367786417494,6.83305250427195,5.9625103579275,3.94010704264127,5.32200265574438,5.35217875304966,5.91567854499872,5.55549812070847,4.47604479422896,5.95532027830442
"ZNRD2",4.01549713889814,4.45934192577292,4.12894258688809,4.9426057741844,3.65568237970882,6.05764452300247,3.95934081602258,4.12147606640235,4.37052560640065,4.60722538873898,3.71535335495237,2.54044649129025
"CCT7",6.86936239838328,7.41129055437282,6.74321392290352,5.43248491194717,7.17954951690071,6.22090618767716,6.25985942196049,6.0012337615978,7.26500926075147,7.30534571190297,6.89764732213343,6.89219736425183
"CCT4",8.44324328723038,8.15883304499665,7.09383142487077,5.76610011742667,7.49113871888704,6.54658722378913,6.13262943126058,6.22909433159493,7.46161308071982,7.47889334674294,6.98176878879249,7.48986946960348
"AHSA1",7.82801570008285,8.09978967572635,6.91815492720554,5.51184416256977,6.98816242070739,5.89421412977036,7.32732099840163,7.26787301253676,7.40875130810496,6.64072285631246,6.66385511356012,8.18230656128643
"PAICS",4.63910208644043,6.49486668239347,4.97117127688799,4.76338797137549,4.49534798667159,5.1816691587807,4.07080081911373,4.37007763478517,5.24903860972483,6.44890051848065,4.73400557189586,5.09847297728743
"KHDRBS1",7.78468923381655,7.62223716362238,6.70195451921091,5.34927712561411,6.05051466990595,4.88989598131575,6.69863073988978,4.74500615811827,6.42353680956145,5.70003132644131,6.52872910733545,6.95323436430138
"CCT8",7.24392582142409,7.61859991319692,6.62130655787904,4.81155427807892,6.21470526006387,5.62819558942786,5.62750265435499,3.70349345002273,4.41868511371533,5.37196644475593,5.88491726700422,6.36385898616989
"NFAT5",5.46246522699963,7.00774080615402,5.04784381859444,5.72186180527809,5.84607252488351,7.35890814981277,5.83661683106611,5.81628665949217,4.97291134613511,5.98114191099453,4.87958460911555,4.46130810104536
"MTHFD2",6.04149131025377,8.93350076471075,4.77430120434883,4.84953434623875,4.29141368288863,5.54353051701584,4.89552368885915,5.03279365311167,5.24495300166896,5.84411517591236,5.39841213925984,5.49039953027423
"RUVBL2",5.00495293702879,5.93222624868602,5.1810610874808,4.59654035438536,5.52184337157935,4.88583277930432,4.75906297003677,4.9366892994504,5.7064391578754,5.97744968528365,6.06184063520529,6.02897997489139
"EHMT2",3.06666048049294,3.07765421012889,3.18935516775533,3.83879353065155,3.90586004590931,4.09709717442693,3.42716132463067,3.52654612351198,5.69286340830308,4.06929295823253,4.88773490997315,3.51630158587021
"CCNI",6.97208703161539,7.66635022863867,6.46724596052585,5.83901345279131,6.39603011995698,6.20159044708794,6.6461992283059,5.15097839501044,5.83029233341356,5.69189524632123,6.24058114127099,6.9637910725465
"CORO1A",6.90774674525123,7.22295651627704,7.29224090597678,5.66082795635181,7.64526234697101,6.23372418926111,6.73916230421808,5.37240849147186,8.58579493935272,7.12779824290041,8.50495114778576,8.76885764000946
"SUPT16H",6.42854160990482,7.29533274834996,5.75728382540565,6.02246818244893,6.63996707731928,5.69997148193843,5.52915522307418,5.87541047374797,6.9089726119601,7.54798010323297,6.5598346024377,7.07508814291184
"RNF139",5.80345164951242,5.58234487486453,4.60250842714676,4.0473826230861,5.25751076269348,4.86772835313312,5.03091340054833,3.22154988069698,4.42085290253808,4.59664825556687,5.69600873547629,4.2922977208789
"CIRBP",6.65757584354247,5.35846663010818,5.62404204701001,6.06150823451716,5.23450603931223,5.89948747824698,5.70430039898552,4.88085302185119,4.44037390592546,4.86918216738967,5.30722703186683,3.63810148402833
"CLK1",6.62321145106992,6.41355807531833,5.6742672989378,5.54721137234751,6.1749962763598,5.05439852350929,6.09238113193594,3.97336763407485,5.25794855679336,5.06571155648925,6.15298139148678,5.08497591411794
"KLF6",7.54177453438937,6.78195316630614,7.14746532073048,5.86015986968595,6.19178676967122,5.54101505390795,6.38309920519909,6.20351201398453,6.04219481102036,6.55338772848206,5.78776273323195,5.96818292208097
"COX6C",7.28912944254622,6.81142135717085,6.33107121377813,5.85435414343921,6.81405315053913,5.94727929879763,6.43735018216109,5.58946294636903,6.31864528073987,6.50926489520966,7.19427014326886,6.29710915174785
"COX7A2",7.82500073677738,8.52348128539442,6.75125092229724,6.00990343781266,7.15293171694364,5.96540826930747,7.48704892844812,6.01861155940091,6.8807948353359,6.47681167152836,6.89394580289673,8.18613893917777
"PARP4",4.81278651531399,4.44909468719987,5.49728332466332,5.25776510312215,6.68785809804974,4.62997599786293,5.87212806711122,5.33376876557721,6.64845119989054,5.46192220206322,6.37511115705692,5.20564189154136
"CSTB",7.33916404444732,7.29632862702145,6.35101351798446,4.48719944999565,6.49058412647912,6.92911195031746,6.00845077277679,6.20703279020511,6.63155752944502,7.00804673905666,6.95541358188035,7.55418591783796
"CTSS",4.48106942318157,4.80388643102095,4.80012636947708,4.59166045913751,4.60272381460963,4.97762950488797,4.74084967133907,4.83320495082337,5.45927321394094,5.76570535557467,5.42768085908171,6.06391233419491
"ADRB2",2.99425597969533,3.7364800238482,3.34862933677717,4.51643913976978,4.10185605255466,4.01390578582656,4.82202639727672,4.55497735641673,4.31863886146828,4.28923917482648,4.08632512810192,3.51471794530421
"CD55",5.83833757257352,7.03905301965507,3.43993248125288,3.91736698843457,3.54193083403022,2.68691900399336,4.25572410554776,3.24423990340488,4.57775859910975,3.47254683842869,4.48192127323705,4.41731905286092
"GADD45A",5.7346130765101,7.98350235196225,6.36723898704211,5.51814288012969,5.00805717718755,6.72538777459559,6.42595250071277,5.67223966718668,4.87782124324503,5.31615045852896,5.14235645120569,5.39701769187397
"DDOST",5.90035587987766,6.28036743737382,5.84931196906682,5.16319463268602,7.13543278980364,5.71666034887142,6.14359249239575,5.81074930288254,6.91241405304631,6.70739232566876,7.02207471444466,7.36852769164823
"TLE5",5.91236183043175,5.01760237757098,5.15164141411814,4.91840351080553,5.82589042231193,4.47744573614046,4.4888932399431,4.23320343790127,6.59087314948605,5.55406458678158,6.30522556815168,6.41769791721334
"DHX9",5.76562988446538,5.86153838197799,5.70991734689042,4.49295969350541,5.60688157603406,4.09675310169138,5.68630072009216,4.48728637296799,4.65169874969177,5.01556775008457,5.99503437003247,5.1006114201393
"DDX11",5.98507087431359,6.06821233700663,5.65344967471603,6.74444618085318,6.40130831584322,5.39532131049892,6.52091816120646,6.89258003016532,6.26673928134715,5.50391625100917,5.69133851407274,5.51605532890749
"DHX15",6.79959373810643,7.5748552892713,6.29646049741254,5.30085272084069,6.84055138686461,5.80253765773366,6.29332045494809,5.19702681355201,6.77576509394373,6.59119536381708,6.65325271858088,6.83403857891908
"DYRK1A",7.41018631822858,7.38266975634924,6.29468281725798,4.69235804213068,6.89888131335176,3.68369305579168,6.92560076452436,5.12768853793449,6.47719824643655,5.20127830224958,6.98830686676242,6.71351220727409
"AHCY",3.40415031511156,5.35000098971318,2.20560168390607,2.57284366308014,3.17936088923288,2.99787388612364,3.03356944155048,2.42688042750366,3.69644518497035,4.56699085626154,3.32230951240495,4.23088368010851
"EIF5",6.50029102630673,7.51819445461647,5.80208716131343,5.90379366236616,5.96306353285469,4.27772947666034,6.18179795152035,4.40851905111876,4.73599986309683,4.02578845922626,4.27976730800314,6.58827584988764
"ENO1",6.36205108590008,8.91607101120286,5.37804736852216,5.07079001800087,6.26489119866534,6.51555048692028,5.39570382126885,5.3564306188047,6.78530959724695,7.48368561015143,6.26154944635927,6.81448366127425
"DMTN",4.65359425324229,4.37401749893823,4.48895082003251,5.52388534904747,5.47198811593893,4.91953445633413,5.43040780887645,6.28771935984125,4.78904443456564,4.30043620387056,4.5164167620967,4.51192572736116
"EPHA4",5.97682476070741,4.73851557878099,6.19428985776302,6.95937167944872,5.72681295617741,4.86003295453938,6.65433237232951,5.63717506189596,6.54158715962038,4.43333831697229,5.70832570087919,4.75550503668006
"ERBB3",3.05665095918573,2.565078964548,2.54683613073587,3.47245009168844,3.36568738279052,3.38812122711994,3.16461573612689,3.43534154535414,3.38211526818589,3.01367389235136,3.1009542808921,2.27862906074084
"MSRB2",3.52037879250902,3.14726964376619,3.24985916315958,2.59855259923386,3.54480704948901,2.74827921407823,3.18440241728416,2.7144080161981,3.12885854848714,2.97386441019542,4.04453337710263,4.70543199462966
"FOXO3",5.48961220591378,5.37766893174013,4.816994372079,6.08795219707175,5.98332690619741,5.78078327370292,6.34174160801498,6.28483600473103,6.59083100620568,5.7451996468954,6.4626034307408,5.95810406785398
"TARDBP",7.28339312078311,7.20755726073657,5.10053129207649,5.06812846729727,6.17733156030297,5.54647027476324,5.78291366986008,4.87688429835997,6.87404663631751,6.40148248712002,7.17312163198903,6.10769435937873
"SEC11A",5.61064265159299,5.62978391813008,5.42089986726014,3.5692907179303,5.97239622557099,3.57484044752831,5.12933108570725,4.85535785103657,5.44409206095187,4.45837301855376,5.48961220591378,6.81213006444555
"SRRM2",8.41610204901452,7.92153111329667,8.06726319129752,8.28259369804708,7.45185433815068,7.19512648173664,8.1719001286094,8.38550483570119,6.47147263794316,5.60669663499383,6.73778096499477,5.56530732838178
"FOSB",8.18930999980473,6.07073768182983,6.98888277552834,6.07073768182983,4.16087012986616,4.23749707584931,4.90837286039963,5.47607078359225,4.14205576420987,4.24110386522572,4.39914541609283,3.876772546261
"FOSL2",4.14984659414083,4.08072052388852,3.64484909413579,4.54003192735001,4.0717730515833,4.92073126602484,4.13110501193186,5.06524345484155,3.55392754254835,4.27109465042363,3.89008715640431,2.34590647731422
"SLC7A11",3.55759923917885,5.06346261402552,2.99247803625693,2.73482723572068,2.25546845990375,2.64809918947135,2.43873090635323,2.41503857252524,3.32346055921156,2.98873948783517,3.56474153460088,2.58826200079407
"GABPB1",4.67391261759922,4.79102974574292,5.12746698629963,3.99710022753103,3.86218239100052,4.23850107563067,4.11596857117617,4.11842865823342,3.99403601801484,4.33652012533017,3.80620441326022,4.8046132422461
"FBXO7",6.64898695414116,6.55830045072593,6.47741932887015,7.06282053381312,7.30016222344801,6.92788801345705,7.87100466225736,8.05652503513835,7.22490759456025,6.8194041584597,7.20011247095434,6.12205336769598
"SLC39A6",4.40495254815332,5.94181956167099,3.12476086489813,3.39185641985452,4.18662304038349,4.33506230551643,3.66998479989185,2.54942131642026,3.97456321509936,4.75659972340523,3.96489800387483,3.95886431581174
"GATA3",7.41038536666987,6.86165536669306,6.54837381322027,7.02892463130079,8.11161593004945,6.9919473812607,8.51463614598093,7.13029727006585,7.38821883712406,6.72161802361973,7.17900105904586,6.56244261069617
"GBP2",5.95366018036301,6.73977104304434,6.62241982947526,5.00396121803791,6.63650893453973,5.57311807830212,5.62640096582417,5.21575575074014,6.60819121668858,6.8547757160448,5.43749087156218,8.41018475038847
"GDI2",6.91612873551802,7.18416762948398,5.96863764174785,5.8468109866339,6.79197284429079,5.58640955686679,6.24963793650391,4.46820462252018,6.68993938348822,6.88201589517199,7.6517999020757,6.38484173659846
"GEM",4.186701472198,7.17140836711841,4.94286147282317,4.70854067073251,3.35485373214323,4.15602839012931,4.83193281669386,4.75894366835226,3.33383972892993,4.04129279957899,3.74421740092054,3.83540440046398
"GLA",6.85685949389024,9.22418916461137,6.70040540499466,6.79528492048835,5.56845762700357,5.60241743075964,5.24426868576767,5.847498589837,5.95643101779955,6.49215678344097,6.17839952736438,6.49007016292711
"GCLM",5.2972975971692,7.2792357765542,4.57484290634458,5.22585820210001,4.28442311873995,5.62634156454828,4.02677466129592,4.46603603345841,4.58063724186163,5.41049503184719,4.65732163188881,4.6408634490322
"GMPR",2.38278544448375,2.38201172982802,2.91223758280886,3.39306206252491,3.02056263173119,3.52259730999194,3.39997846410342,4.06493865594249,2.89960891424251,2.91883080611726,3.20434677916682,2.48207921253156
"GNAS",5.22021222438779,3.91687477301902,4.55694140838389,3.94659106672081,4.67045277719635,3.85157308264375,4.84889590311761,3.8672547260334,3.11502948392583,2.76493356154189,3.15178326253947,2.81643563490836
"GRK5",6.72661607262538,5.32796475653653,5.40548075439208,4.78029398765072,5.69441016396891,3.41946323209849,5.74460866041664,3.80335775197707,4.36446894235873,3.6894664386724,4.63026829533846,4.61485406926801
"TBK1",4.71745385455592,4.79558414908948,4.96361092363178,4.20246645269549,5.33916993007849,4.10121114848724,4.25846785288189,3.92099525553698,4.21751376320441,4.38784980383448,5.23755246307695,5.41471479946851
