"","1G.0H.2","1G.0H.4","1G.0H.5","1G.4H.2","1G.4H.4","1G.4H.5","VG.0H.2","VG.0H.4","VG.0H.5","VG.4H.2","VG.4H.4","VG.4H.5"
"1007_s_at",4.45261912590336,4.61356818820067,4.29505319303568,4.57136523732688,4.56816058569603,5.59510794571342,4.71573205013153,4.866961537064,4.71114282627328,4.66489445458046,5.44868099794088,3.71407158579664
"1053_at",2.48548504459459,2.45353032707831,2.49060083961535,2.68512001502656,2.64865513064684,2.38286870420729,2.54557892284222,2.85859259555937,2.39594296566748,2.6265201082229,2.56497229167912,2.42107915760672
"117_at",6.57107619581954,6.9123234754508,5.86570763630439,8.76396858656086,4.00520897114575,4.58839610417577,6.27937049567839,8.15711702428503,4.24691595773923,4.47637169333134,4.06168638906315,5.14948112365268
"121_at",6.62817373406071,6.55557496586652,7.06988650246509,7.50039593495313,6.95441400304033,6.62994506543248,7.07585984743539,7.16279446678629,6.98463373709965,6.96515698751624,6.72061612105737,6.90266078088661
"1255_g_at",2.04331805000082,2.09356056111743,2.38021650532279,2.22576187237246,2.30367583794227,1.98429139066478,2.05190124490042,2.37463251827384,2.02268128658726,1.93076970725608,2.11472028667024,2.3673865408291
"1294_at",5.04973221896545,4.59385624434602,5.77906254401772,4.88410807521552,4.99304061105364,4.45574202339868,4.96389177463404,5.07533354375051,5.25745514401406,4.56195818035033,5.43281720871147,5.28490310635941
"1316_at",3.41599990488352,3.19571744308214,3.66156851272431,3.77173772649756,3.0282533566076,3.47058019799219,3.34005947457194,3.31364221872764,3.18883821406454,3.21752863744351,3.21322599292832,3.26966193082591
"1320_at",2.42215505352025,2.60541386165066,2.91061162729709,2.85660674527363,2.36522073787293,2.46387337463395,2.55777477549146,2.78141269056707,2.43968951385638,2.48814488209446,2.45664813542585,2.47966601734206
"1431_at",2.4270168337176,2.22523696467713,2.13796422278379,2.62765694304356,2.1427948259446,2.58983433215496,2.24220679183095,2.30516360094578,2.20349273746458,2.42363398987211,2.15266162113308,2.03745148537392
"1438_at",4.3801627546694,3.95089373394187,4.42853489047033,4.72236524041816,4.23615285604645,4.25791236583966,4.08003635188341,4.57591278961207,4.41116056012112,4.26480794430045,4.21051611398337,4.17446312177887
"1487_at",5.51854179015466,5.18406626954959,5.35531436204385,4.94078375903896,5.18908170333244,5.2202857672621,4.96073904470854,5.09053474445872,5.21861826608682,5.16350822615857,5.12350384057913,5.29531210094215
"1494_f_at",4.28956761058594,4.29283185020455,4.20474558852806,4.86524528007825,4.23139562493691,4.24252100157507,4.52693000714985,4.31665618562408,4.06168324076834,4.21328051689943,4.44084267932407,4.4497307524457
"1598_g_at",6.20933426143032,6.15866764474234,6.12143229254928,6.8451398123985,6.10449802148685,6.4668752073998,6.20449929291266,6.78194869241793,6.07139812039431,6.29258083805259,6.1424907447785,5.818234283002
"160020_at",5.59380521661248,5.13957091433061,4.786342992858,6.31327827609786,5.19575955962926,5.55926323144075,5.41070948315772,5.62672182089315,5.24815467640988,5.11930700688531,5.46428101322728,4.56705632458618
"1729_at",5.63449332012691,5.39630559315485,5.36264409288091,5.59596638868038,5.73473570456344,6.0788958697647,5.53642128410471,5.68016439303708,6.23404003051005,5.67724106160498,6.06202189245615,5.91545720126175
"177_at",2.87101292703967,2.43177907639892,3.20537038351736,2.52733361691516,2.56167889151172,2.63696448930669,2.5542230831669,3.05848212261739,2.58968536652704,2.50983476339632,2.7777953835264,2.93274047870514
"1773_at",3.16391687514236,3.22848848623018,3.14708487126263,4.00696747282542,3.3924232826578,3.68576784481825,3.40385056004598,3.56189186519427,3.29046605896936,3.6050187892168,2.9876672705516,3.0555074636612
"1861_at",3.46219762135713,3.19912805635148,3.15272746889873,3.44282338307785,3.42236378860974,3.32666647577885,3.24487529371636,3.73514251416495,3.51574231511747,3.0348078105565,3.1412699806504,3.28357227062095
"200000_s_at",7.15877552433922,7.00603925314552,7.05342716070148,7.06305638411607,7.28636559590895,6.34631208708278,6.85651445934007,6.55727108302036,7.73926232980855,7.02683003352206,7.20686200670598,7.09707969473766
"200001_at",5.18552464284733,6.29153547915894,5.29819315651838,4.86584664846923,6.27237182241092,5.19767709867909,5.72353882241053,5.52723484065073,6.71338927650335,6.5944298248013,6.68788550085916,6.63769725753705
"200002_at",9.59090421524891,10.173675460168,10.0290275224653,9.13441582698886,9.8433903358755,7.37673477866165,9.48224076451785,8.7514476190844,9.10515246985307,8.61185844307146,9.51845335072535,9.61065554667724
"200003_s_at",11.3238995177161,11.1226905369495,11.117215045554,11.2721932256495,11.0224839937353,10.2726200429684,11.3819327509148,10.8213521690133,11.3666458676796,10.4482149760133,11.051435535143,10.901363955849
"200004_at",7.12955029279182,8.28562599437168,5.27589210040937,7.66848431664012,7.57057081120499,6.58003774074654,7.67142377176594,5.70460006575318,7.47599139478645,6.90112649896862,8.41138971440061,5.17433139313479
"200005_at",7.35027051958795,7.72704925744868,7.10900394084149,6.45751832635089,7.20978511967128,7.0612291134536,7.24629577907109,5.00452838221812,7.17124810160558,7.02146062382399,7.07462172304025,6.80140549485367
"200006_at",7.03395844483841,7.42998278625196,4.95404275301661,5.24982777095334,6.81980703544772,6.89892070289142,6.41122915640633,4.39372522885734,7.05175316268058,6.42422826663545,6.14742311574343,7.0209617331694
"200007_at",7.31346383226486,7.75749596349714,6.43926748805042,7.02628758409197,7.80706951098138,5.67779119082538,7.3984428645858,6.31284658389182,6.70689940755212,6.38937801930087,6.33269194013642,8.04075120772622
"200008_s_at",5.92442862450574,5.73353853914836,5.34369547196606,5.07156501868396,5.66365245012465,5.92709577599054,5.71047302944242,5.42323011372478,6.43341213991611,6.76482454319885,6.14038084205885,5.9389465830118
"200009_at",6.91612873551802,7.18416762948398,5.96863764174785,5.8468109866339,6.79197284429079,5.58640955686679,6.24963793650391,4.46820462252018,6.68993938348822,6.88201589517199,7.6517999020757,6.38484173659846
"200010_at",10.0348640479046,10.3892485002393,9.58341207866189,9.16991497373202,10.3455577573674,8.39475445208871,10.3920688465284,9.29333601772282,9.4738146550558,9.20764178755579,9.98019712466423,9.84942279987414
"200011_s_at",5.64586480115002,4.79615222376552,5.03426751380375,5.18530004129847,6.30332387998012,5.22604190330724,5.38897937560386,4.74780979435725,6.10109300816858,5.53392864083109,5.63288611509038,4.35746391708916
"200012_x_at",9.93956621505023,11.0308826547924,10.1213496694478,9.55236985377875,11.2096775519351,8.20551613243206,10.5044865872038,9.62307016235366,8.94292143218744,8.25030927198386,9.45607815648904,10.1826785945853
"200013_at",9.1869293626895,9.74263155282955,8.99995695061624,9.47148412331532,9.6936268175025,9.00698457781472,9.78182004113055,8.96420264317578,9.05540682825421,9.17214938057641,9.36743994725085,8.71112627736934
"200014_s_at",6.20117549831696,6.86218589600388,4.72249174586789,5.54511482001708,5.18826851402109,5.18901724396405,5.97887509810168,3.99314681116908,4.64883582905431,5.51691261418645,4.86913973093088,5.0223620526056
"200015_s_at",6.70099404917203,6.59666462717481,6.36998653228934,4.87057382370168,6.79603677499319,5.84928229653747,6.40328881347168,5.13584010693975,6.57552167292534,6.70753223138942,6.45960735577606,6.37148323225231
"200016_x_at",8.91718817146312,8.90938201916605,7.24722650899942,7.1624058058532,8.80244621522881,6.58080373591953,9.31491684963238,7.75946097695586,7.48533952388871,7.21722015450086,7.96833676519933,8.32862034420535
"200017_at",9.55195698342906,9.51548693367076,8.88251758848661,9.10817192188314,9.55443703905949,8.74258843857384,9.30218425364606,9.03168607143815,8.94652546143349,9.42858052320257,8.90384253925001,9.64609545060326
"200018_at",9.82863790018507,10.5894776331023,9.4914302870518,9.89245270512104,10.3862840874777,8.28369564880416,10.4074539999633,9.44249753383868,9.52658897166478,9.49054551097095,10.6979488249807,8.94775596858
"200019_s_at",10.5638918974986,10.4604190567553,10.2155301336642,10.0307959361875,10.4973308153961,10.1975052645386,10.243659014119,9.96755656456622,10.3252249283553,9.69102525741893,10.134679351012,10.4312314883814
"200020_at",7.28339312078311,7.20755726073657,5.10053129207649,5.06812846729727,6.17733156030297,5.54647027476324,5.78291366986008,4.87688429835997,6.87404663631751,6.40148248712002,7.17312163198903,6.10769435937873
"200021_at",7.93430539924969,9.02790039923751,8.20920154577873,8.69486209719201,9.01291828778415,8.28000005317025,8.45895288513824,8.49980062258699,9.01906273834227,9.28801059574057,8.36344356707077,8.68565610663079
"200022_at",10.7784852180481,10.3252000243713,10.984471859123,9.85455553771707,10.6577868695996,8.79755335699881,10.3042804491101,9.9683790154513,10.6734442661196,9.83580705313156,10.1905147796766,11.1951036498364
"200023_s_at",7.90033876348625,8.09202639500298,6.85749580690969,7.89887258920177,8.11198077034682,6.17267847746565,8.10000542952503,6.75960437124101,7.62392954361558,7.41884468020563,8.05691166511021,7.67523356629661
"200024_at",9.69269219066136,10.5100095496362,9.6412749299923,10.0176262407218,10.7249105103233,8.2946214548493,10.4876202043981,10.2771982099523,9.9732521026697,9.08359893427936,9.99155869214871,9.34572872974472
"200025_s_at",9.93754200434994,10.7331614358984,9.42988624686403,9.98357059359615,10.2883096789703,8.56163478206399,10.3384532438152,9.53458512243441,9.88526570769947,9.55269292745162,10.4380996763883,8.99759065000476
"200026_at",10.7581068563876,11.2428391840319,10.5500943471661,10.3623892831891,11.1473772612472,9.04852103782382,11.1327005612954,9.75249730147846,10.1185925053048,10.2512493012776,10.3794572284274,10.6391882970714
"200027_at",6.36973983489852,8.08739916381134,4.19808706155535,6.79314824536418,6.62486021060748,5.94895646944091,6.37028213456655,5.10393053147122,5.54029381052644,7.38668740689195,7.37223899056445,4.83535474320384
"200028_s_at",6.15066327079347,6.74808815163611,5.49770879744641,5.30547203725764,5.9188002594301,6.28574864253036,5.59614566711364,4.83511318169735,6.31079728562519,7.24360425537813,6.08575134159773,5.85062039937311
"200029_at",11.4202064235096,11.1301762441627,11.0935184955113,11.0482334847135,11.3815629851311,9.88368528606404,11.0216550649658,10.7287395689741,11.0516640704947,10.8042660257382,11.3354304012086,10.6991504924272
"200030_s_at",7.58706995569727,8.71415927880897,7.12570306900273,7.33572182195563,7.7758574123081,8.5871866374223,8.07169825073296,6.64610981413549,7.3442653639616,8.32742382568343,8.46160726068781,6.29599840664075
"200031_s_at",10.8269108752236,11.4209102077731,10.6575033284411,11.1175454621248,11.4486130349528,10.5934188105449,11.3283110838368,11.0490100202148,11.5153929886286,11.284555973171,11.0781849069661,11.1137828805988
"200032_s_at",9.23027529619962,9.64351688950276,8.53853569608239,9.03942920085565,9.00707990890504,8.19777573321092,9.52436172556497,9.01205815761515,8.89982613301776,8.65175855558073,8.86476151752231,7.96426144286306
"200033_at",6.38015291308919,8.93742155993328,5.97560987889908,5.79293558003805,7.28913549668283,7.34796287615639,8.60953621904648,5.43479721400001,6.38845642360915,7.16334098595964,7.57303419706439,7.14657786504132
"200034_s_at",8.7406318565832,8.95278534061257,8.61134008666947,7.40560275962339,9.57318598819729,8.24704461263944,8.56313459977688,7.41216618544987,8.55450458108399,7.88309660630002,8.3697691609588,8.73626333287579
"200035_at",5.68684966116468,6.35019913655338,5.1051879300731,5.58574161749126,5.55223910221662,6.03908088596798,5.65046725666043,4.49364547480463,5.51039998593474,5.54628803859265,5.89368709983186,5.02102539447093
