"","1G.0H.2","1G.0H.4","1G.0H.5","1G.4H.2","1G.4H.4","1G.4H.5","VG.0H.2","VG.0H.4","VG.0H.5","VG.4H.2","VG.4H.4","VG.4H.5"
"209028_s_at",4.41408096022418,3.4828196311426,2.44493597439103,2.47934178938112,3.12229225574959,2.81374151202403,2.81457630872385,2.63944712172168,2.99356820700624,2.32817385339785,3.33908802435845,3.49520478042656
"202382_s_at",4.05005236729386,5.50483627396516,3.57126514417146,4.37989325140818,3.71976388056373,4.4711836241136,3.75219294750386,3.23509328331115,4.02049391738056,5.69628726218403,4.51807138118241,4.37709032381377
"209451_at",2.33915783655194,3.4307668297456,2.33915783655194,3.08940650640372,2.35113541621217,3.27830599494303,2.84087027433192,2.16353397429735,2.17371723524617,2.89436985314864,2.64777766266725,2.2659153622923
"202455_at",5.03081262394705,5.8847953056516,4.23475782771307,4.45381991305486,5.02088495137629,4.62198147525719,5.0755583316525,5.2249084853969,5.21283875989348,4.46609011062574,5.006468207573,5.7345250002226
"217746_s_at",5.70490222433834,6.60379249679,6.24548832271463,6.16667694295582,6.57443087431438,5.4191399393187,7.26624421317171,6.56603081453147,5.78538629222562,6.31609445715051,6.59771058149414,7.1077238375173
"203415_at",5.21805371843499,5.17187771495776,4.06309321880538,4.87214150882928,5.32050854188225,6.36467125454917,5.0917161975983,4.47067312228035,7.30625260892759,6.32230265642777,6.34434257289536,4.90238184375317
"219889_at",4.34796490121141,4.10006521128984,4.15351626529092,5.00906818243766,5.27040915545434,3.92202421482375,5.42071682855113,4.83486279258493,5.01438262988895,4.55762548847008,5.63105078462288,4.62401706765606
"43544_at",5.4725658159766,4.59111062786771,5.2394631023515,4.37520759573347,5.47641694864187,4.32771546572175,4.64744748273831,4.48510428225047,5.59868137535867,4.09775493419039,5.07453259360042,6.10577576948318
"202582_s_at",4.99065184685735,6.72025724248326,4.85156288081938,5.4974348852096,5.48702089430522,6.06438744200707,7.14189465319501,4.41705241016681,5.45009224240507,5.22817724521318,6.24567746017307,4.72373835511163
"201664_at",4.83590737396596,5.28143583836996,4.17409572376136,3.76304428077307,5.21515397038694,4.57644950052412,5.03043218236274,4.12572617466889,4.31594356614165,4.24487010332426,4.66206465214862,5.23324888277865
"201771_at",6.91246877521398,7.20704861939672,6.15304633989466,5.77660504654035,6.64377028807147,6.57373037667218,6.37143293673108,5.97375036004115,7.305513014172,6.8574407287463,6.84574926036757,7.26706011787303
"207729_at",2.89575220696622,2.37302129985256,2.96646500989025,3.51529479539784,2.88280924744552,4.06543859529491,2.80114305364308,3.56026379895562,2.97445707507925,3.3461643507151,3.24166492980847,3.68687918742413
"218567_x_at",4.1057797525032,4.42837780009717,3.83150515331972,3.78290792917927,4.31204796927654,3.85020452972847,4.29871533847379,4.89012698200392,4.98374709049526,4.51982295318081,4.07150771221756,4.99823447489132
"219625_s_at",4.7559661685371,4.5055330045836,3.84987003596786,3.72312952501128,5.58407058428658,3.71806594450193,4.81256003205802,4.34910206621085,4.99747964311961,3.66256468929477,4.60538735313806,4.64064448555646
"211963_s_at",6.57761823930415,6.35911278436262,5.11016437501385,6.68218485982836,6.86653505020194,6.15071300354541,6.50983872295567,4.96693286877858,7.24337128180839,7.24599376490352,7.70486988330616,5.78968669136159
