"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","117_at","HSPA6","3310","heat shock protein family A (Hsp70) member 6",-1.00144354198771,5.75646863776724,-0.726925960470095,0.476287349197868,0.959972449986864,-4.59941088485698
"2","200001_at","CAPNS1","826","calpain small subunit 1",0.798402450866107,5.91627703090383,1.13601020535697,0.270323880675328,0.959972449986864,-4.59270527150778
"3","200002_at","RPL35","11224","ribosomal protein L35",1.28039758112496,9.26899636111146,1.63688170049463,0.118399161844447,0.959972449986864,-4.58170606401689
"4","200004_at","EIF4G2","1982","eukaryotic translation initiation factor 4 gamma 2",-0.497730702273446,6.98741867458118,-0.448938501417457,0.658643105864964,0.96785460611739,-4.60245147327874
"5","200006_at","PARK7","11315","Parkinsonism associated deglycase",0.728444680806168,6.31965501307433,0.733870960284753,0.472142942600504,0.959972449986864,-4.59931815501335
"6","200007_at","SRP14","6727","signal recognition particle 14",0.447903769682487,6.93353213274203,0.530324047110105,0.602138076364211,0.959972449986864,-4.60170054505729
"7","200009_at","GDI2","2665","GDP dissociation inhibitor 2",1.7848720700974,6.38504723924165,2.16868321302548,0.0432407769195799,0.959972449986864,-4.56800120091198
"8","200010_at","RPL11","6135","ribosomal protein L11",0.658446545468241,9.67618608678293,0.895303607063292,0.38202201790189,0.959972449986864,-4.59694767743878
"9","200011_s_at","ARF3","377","ADP ribosylation factor 3",-0.650661596995207,5.32942593453712,-0.895444927879888,0.381948439082237,0.959972449986864,-4.59694542704352
"10","200014_s_at","HNRNPC","3183","heterogeneous nuclear ribonucleoprotein C",0.883669740528132,5.31146048785325,1.09958372815576,0.285489542610441,0.959972449986864,-4.5933974863392
"11","200015_s_at","SEPTIN2","4735","septin 2",1.19190817982829,6.23640095971859,1.62971849240355,0.119915444506311,0.959972449986864,-4.58187960797804
"12","200017_at","RPS27A","6233","ribosomal protein S27a",0.414295610869367,9.21783943372304,0.676219101753342,0.507192224820072,0.959972449986864,-4.60006394328324
"13","200020_at","TARDBP","23435","TAR DNA binding protein",1.64933508172764,6.13329625491542,1.89779054661559,0.0732958001952941,0.959972449986864,-4.57515440821969
"14","200021_at","CFL1","1072","cofilin 1",-0.152359690168616,8.62284285816016,-0.236029395438647,0.815979615499782,0.984136807191795,-4.6038419643489
"15","200022_at","RPL18","6141","ribosomal protein L18",1.01786102973016,10.297131839932,1.3914315274097,0.180452208660823,0.959972449986864,-4.58740981553795
"16","200023_s_at","EIF3F","8665","eukaryotic translation initiation factor 3 subunit F",0.444593231871835,7.55566017153394,0.568763187885997,0.57629489991275,0.959972449986864,-4.6013050090487
"17","200024_at","RPS5","6193","ribosomal protein S5",-0.503455232150618,9.8366743124481,-0.648004900679522,0.524871047426934,0.959972449986864,-4.60040881008099
"18","200025_s_at","RPL27","6155","ribosomal protein L27",0.165717937459151,9.80673267246138,0.216238446366535,0.831146787302685,0.988011708695554,-4.60392800625719
"19","200026_at","RPL34","6164","ribosomal protein L34",0.752952421341105,10.4485844303917,1.00344703354801,0.328473205530225,0.959972449986864,-4.59514060287443
"20","200027_at","NARS1","4677","asparaginyl-tRNA synthetase 1",0.622678599649555,6.21924821690852,0.558258665382963,0.583300845585862,0.959972449986864,-4.60141567114084
"21","200028_s_at","STARD7","56910","StAR related lipid transfer domain containing 7",1.10811971419023,5.98570944082327,1.4889472396202,0.153198266135288,0.959972449986864,-4.58520712894578
"22","200030_s_at","SLC25A3","5250","solute carrier family 25 member 3",0.250374165334964,7.68940009141975,0.290743085833137,0.77445265000087,0.975186080811559,-4.60356546170248
"23","200034_s_at","RPL6","6128","ribosomal protein L6",0.512749219076333,8.42079375923089,0.679541729683156,0.505132760871533,0.959972449986864,-4.60002245321519
"24","200036_s_at","RPL10A","4736","ribosomal protein L10a",0.450596614707075,9.01951070843803,0.538529328215983,0.596574247933951,0.959972449986864,-4.60161829220398
"25","200037_s_at","CBX3","11335","chromobox 3",0.833140717931558,4.66188031963397,1.19199311097651,0.248194482659635,0.959972449986864,-4.59160902614546
"26","200039_s_at","PSMB2","5690","proteasome 20S subunit beta 2",1.39717192941758,5.55977043302342,1.77254357109984,0.0926206462477012,0.959972449986864,-4.5783514789518
"27","200040_at","KHDRBS1","10657","KH RNA binding domain containing, signal transduction associated 1",2.37800474344088,6.28731143326111,3.01760554682404,0.00717965431418392,0.959972449986864,-4.54504165469102
"28","200043_at","ERH","2079","ERH mRNA splicing and mitosis factor",-0.093286675644106,6.29861865985988,-0.124147580741371,0.902525201687465,0.991004048128932,-4.60422997566181
"29","200045_at","ABCF1","23","ATP binding cassette subfamily F member 1",0.468114903835724,6.88609397348301,0.662092641448437,0.516001272949553,0.959972449986864,-4.60023828323966
"30","200046_at","DAD1","1603","defender against cell death 1",-0.146209674500798,5.76719675030932,-0.164649818577147,0.87098903928617,0.988011708695554,-4.60411717830406
"31","200047_s_at","YY1","7528","YY1 transcription factor",1.08974469031162,4.7471046519701,1.10111397490758,0.284840154816719,0.959972449986864,-4.59336874944812
"32","200048_s_at","JTB","10899","jumping translocation breakpoint",0.3775722650533,6.89785364888421,0.535325173567346,0.598743903734724,0.959972449986864,-4.60165055316383
