"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","117_at","HSPA6","3310","heat shock protein family A (Hsp70) member 6",-0.221901276624025,5.75646863776724,-0.227792020778887,0.822283800458627,0.997133185919414,-4.75203329364794
"2","200001_at","CAPNS1","826","calpain small subunit 1",0.396303220346656,5.91627703090383,0.797449097145192,0.435214974457776,0.985190326513492,-4.6684061766813
"3","200002_at","RPL35","11224","ribosomal protein L35",-0.818255448142279,9.26899636111146,-1.47936844851283,0.155716430065715,0.985190326513492,-4.46594207950077
"4","200004_at","EIF4G2","1982","eukaryotic translation initiation factor 4 gamma 2",0.0536489482442359,6.98741867458118,0.0684334810114279,0.946168123523605,0.997133185919414,-4.75898903048599
"5","200006_at","PARK7","11315","Parkinsonism associated deglycase",-0.520425478720905,6.31965501307433,-0.741475276393095,0.467629837194883,0.985190326513492,-4.68046467344563
"6","200007_at","SRP14","6727","signal recognition particle 14",-0.364012809260894,6.93353213274203,-0.609520429856089,0.549525596358507,0.985385771172176,-4.70571895728955
"7","200009_at","GDI2","2665","GDP dissociation inhibitor 2",-0.887050688079176,6.38504723924165,-1.5242368572633,0.144208699461137,0.985190326513492,-4.44959947927363
"8","200010_at","RPL11","6135","ribosomal protein L11",-0.282768369166243,9.67618608678293,-0.543745449759141,0.593050519734896,0.985385771172176,-4.71658893467991
"9","200011_s_at","ARF3","377","ADP ribosylation factor 3",0.253865879803473,5.32942593453712,0.494086557608805,0.627007505015295,0.985385771172176,-4.72401696563495
"10","200014_s_at","HNRNPC","3183","heterogeneous nuclear ribonucleoprotein C",-1.05499846728789,5.31146048785325,-1.85654357597071,0.07922654325786,0.985190326513492,-4.32015807993724
"11","200015_s_at","SEPTIN2","4735","septin 2",-0.517664871766468,6.23640095971859,-1.00099863731536,0.329624488763215,0.985190326513492,-4.61817951129696
"12","200017_at","RPS27A","6233","ribosomal protein S27a",-0.22318857302291,9.21783943372304,-0.515186003319981,0.612468762940038,0.985385771172176,-4.72094351654259
"13","200020_at","TARDBP","23435","TAR DNA binding protein",-0.685879023019538,6.13329625491542,-1.11609689713259,0.278538945840438,0.985190326513492,-4.58563333803515
