"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","117_at","HSPA6","3310","heat shock protein family A (Hsp70) member 6",-1.22334481861174,5.75646863776724,-1.25582057291678,0.224669136631713,0.997843349450867,-4.54463871116715
"2","200001_at","CAPNS1","826","calpain small subunit 1",1.19470567121276,5.91627703090383,2.40401013655527,0.0267781875740761,0.997843349450867,-3.76747128077293
"3","200002_at","RPL35","11224","ribosomal protein L35",0.462142132982677,9.26899636111146,0.835531852327017,0.413982857505469,0.997843349450867,-4.73999249059249
"4","200004_at","EIF4G2","1982","eukaryotic translation initiation factor 4 gamma 2",-0.44408175402921,6.98741867458118,-0.566461436364592,0.577826363529214,0.997843349450867,-4.82810178299235
"5","200006_at","PARK7","11315","Parkinsonism associated deglycase",0.208019202085263,6.31965501307433,0.29637498867337,0.7702151224355,0.997843349450867,-4.88389334122821
"6","200007_at","SRP14","6727","signal recognition particle 14",0.0838909604215932,6.93353213274203,0.14047103001961,0.88979217068301,0.997843349450867,-4.900400357078
"7","200009_at","GDI2","2665","GDP dissociation inhibitor 2",0.897821382018223,6.38504723924165,1.5427443550882,0.139671671350185,0.997843349450867,-4.37737842481998
"8","200010_at","RPL11","6135","ribosomal protein L11",0.375678176301998,9.67618608678293,0.722405053791319,0.478996740102068,0.997843349450867,-4.78082426241566
"9","200011_s_at","ARF3","377","ADP ribosylation factor 3",-0.396795717191734,5.32942593453712,-0.77226380375713,0.449623496457989,0.997843349450867,-4.76348871632123
"10","200014_s_at","HNRNPC","3183","heterogeneous nuclear ribonucleoprotein C",-0.171328726759758,5.31146048785325,-0.301497354648073,0.766367409839759,0.997843349450867,-4.88315323773543
"11","200015_s_at","SEPTIN2","4735","septin 2",0.674243308061818,6.23640095971859,1.30377135749198,0.208157975539343,0.997843349450867,-4.51840775891648
"12","200017_at","RPS27A","6233","ribosomal protein S27a",0.191107037846457,9.21783943372304,0.441132221515348,0.664182967773892,0.997843349450867,-4.85820258006809
"13","200020_at","TARDBP","23435","TAR DNA binding protein",0.9634560587081,6.13329625491542,1.56778423243463,0.13372299687711,0.997843349450867,-4.36168534758407
"14","200021_at","CFL1","1072","cofilin 1",0.116443277098575,8.62284285816016,0.25510879443381,0.801427968789955,0.997843349450867,-4.889398891478
"15","200022_at","RPL18","6141","ribosomal protein L18",0.637176572776342,10.297131839932,1.23182254922132,0.233304316793794,0.997843349450867,-4.55748729577699
"16","200023_s_at","EIF3F","8665","eukaryotic translation initiation factor 3 subunit F",0.322486024866068,7.55566017153394,0.583437755036051,0.566580223045656,0.997843349450867,-4.82347619520223
"17","200024_at","RPS5","6193","ribosomal protein S5",-0.205423949907198,9.8366743124481,-0.373924141444226,0.712673078390342,0.997843349450867,-4.87135648460328
"18","200025_s_at","RPL27","6155","ribosomal protein L27",0.051622733071417,9.80673267246138,0.0952619318694284,0.925121736801257,0.997843349450867,-4.90299175966243
"19","200026_at","RPL34","6164","ribosomal protein L34",0.237202414838777,10.4485844303917,0.447055068487657,0.659977878129212,0.997843349450867,-4.85694245117953
"20","200027_at","NARS1","4677","asparaginyl-tRNA synthetase 1",0.0757720717492232,6.21924821690852,0.0960717479886442,0.924487252339804,0.997843349450867,-4.90295406721939
